term,cluster,centrality,density
microplastics,0,791320,1214.8341049382716
microplastic,0,791320,1214.8341049382716
mps,0,791320,1214.8341049382716
water,0,791320,1214.8341049382716
environmental,2,615140,559.1313634745461
management,2,615140,559.1313634745461
results,2,615140,559.1313634745461
health,3,594640,805.5898491083676
samples,0,791320,1214.8341049382716
fish,0,791320,1214.8341049382716
environment,3,594640,805.5898491083676
river,0,791320,1214.8341049382716
mp,0,791320,1214.8341049382716
city,2,615140,559.1313634745461
species,3,594640,805.5898491083676
significant,2,615140,559.1313634745461
data,2,615140,559.1313634745461
areas,1,342080,992.9705215419501
analysis,2,615140,559.1313634745461
coastal,1,342080,992.9705215419501
particles,0,791320,1214.8341049382716
bay,0,791320,1214.8341049382716
human,3,594640,805.5898491083676
showed,2,615140,559.1313634745461
surface,0,791320,1214.8341049382716
global,3,594640,805.5898491083676
sites,0,791320,1214.8341049382716
types,0,791320,1214.8341049382716
countries,3,594640,805.5898491083676
total,1,342080,992.9705215419501
different,1,342080,992.9705215419501
identified,0,791320,1214.8341049382716
contamination,0,791320,1214.8341049382716
polyethylene,0,791320,1214.8341049382716
potential,3,594640,805.5898491083676
density,0,791320,1214.8341049382716
food,1,342080,992.9705215419501
polymer,0,791320,1214.8341049382716
local,3,594640,805.5898491083676
items,1,342080,992.9705215419501
size,0,791320,1214.8341049382716
collected,0,791320,1214.8341049382716
abundance,0,791320,1214.8341049382716
impacts,3,594640,805.5898491083676
high,2,615140,559.1313634745461
presence,0,791320,1214.8341049382716
sediments,0,791320,1214.8341049382716
conducted,0,791320,1214.8341049382716
area,1,342080,992.9705215419501
sampling,0,791320,1214.8341049382716
findings,2,615140,559.1313634745461
mm,0,791320,1214.8341049382716
type,0,791320,1214.8341049382716
need,3,594640,805.5898491083676
sources,2,615140,559.1313634745461
ingestion,0,791320,1214.8341049382716
sea,3,594640,805.5898491083676
asia,3,594640,805.5898491083676
mangrove,1,342080,992.9705215419501
highest,0,791320,1214.8341049382716
effects,3,594640,805.5898491083676
country,2,615140,559.1313634745461
packaging,1,342080,992.9705215419501
public,3,594640,805.5898491083676
ecosystems,3,594640,805.5898491083676
revealed,2,615140,559.1313634745461
urban,2,615140,559.1313634745461
community,3,594640,805.5898491083676
distribution,0,791320,1214.8341049382716
assessment,2,615140,559.1313634745461
southeast,3,594640,805.5898491083676
risk,0,791320,1214.8341049382716
problem,2,615140,559.1313634745461
fragments,0,791320,1214.8341049382716
wastes,2,615140,559.1313634745461
communities,3,594640,805.5898491083676
higher,0,791320,1214.8341049382716
lake,0,791320,1214.8341049382716
manila,2,615140,559.1313634745461
observed,0,791320,1214.8341049382716
low,0,791320,1214.8341049382716
beaches,1,342080,992.9705215419501
activities,3,594640,805.5898491083676
rivers,2,615140,559.1313634745461
knowledge,2,615140,559.1313634745461
materials,2,615140,559.1313634745461
solid,2,615140,559.1313634745461
indonesia,3,594640,805.5898491083676
island,1,342080,992.9705215419501
sediment,0,791320,1214.8341049382716
level,3,594640,805.5898491083676
associated,3,594640,805.5898491083676
occurrence,0,791320,1214.8341049382716
ecosystem,3,594640,805.5898491083676
composition,1,342080,992.9705215419501
information,3,594640,805.5898491083676
economic,3,594640,805.5898491083676
policies,2,615140,559.1313634745461
risks,0,791320,1214.8341049382716
common,0,791320,1214.8341049382716
significantly,1,342080,992.9705215419501
impact,2,615140,559.1313634745461
challenges,3,594640,805.5898491083676
future,3,594640,805.5898491083676
policy,3,594640,805.5898491083676
non,2,615140,559.1313634745461
average,0,791320,1214.8341049382716
especially,0,791320,1214.8341049382716
recycling,3,594640,805.5898491083676
development,3,594640,805.5898491083676
philippine,3,594640,805.5898491083676
particularly,3,594640,805.5898491083676
reduce,2,615140,559.1313634745461
transport,2,615140,559.1313634745461
region,3,594640,805.5898491083676
products,2,615140,559.1313634745461
provide,3,594640,805.5898491083676
major,2,615140,559.1313634745461
accumulation,1,342080,992.9705215419501
address,3,594640,805.5898491083676
southeast asia,3,594640,805.5898491083676
increased,3,594640,805.5898491083676
environments,0,791320,1214.8341049382716
single,2,615140,559.1313634745461
respectively,0,791320,1214.8341049382716
dominant,0,791320,1214.8341049382716
material,2,615140,559.1313634745461
oceans,2,615140,559.1313634745461
ecological,3,594640,805.5898491083676
source,2,615140,559.1313634745461
factors,2,615140,559.1313634745461
ftir,0,791320,1214.8341049382716
color,0,791320,1214.8341049382716
aquatic,0,791320,1214.8341049382716
fibers,0,791320,1214.8341049382716
important,0,791320,1214.8341049382716
mean,0,791320,1214.8341049382716
practices,2,615140,559.1313634745461
beach,1,342080,992.9705215419501
organisms,3,594640,805.5898491083676
waters,0,791320,1214.8341049382716
determine,2,615140,559.1313634745461
limited,1,342080,992.9705215419501
strategies,3,594640,805.5898491083676
new,3,594640,805.5898491083676
levels,0,791320,1214.8341049382716
polymers,0,791320,1214.8341049382716
polypropylene,0,791320,1214.8341049382716
largest,0,791320,1214.8341049382716
compared,2,615140,559.1313634745461
biodiversity,3,594640,805.5898491083676
10,0,791320,1214.8341049382716
concern,2,615140,559.1313634745461
bags,2,615140,559.1313634745461
spectroscopy,0,791320,1214.8341049382716
characteristics,0,791320,1214.8341049382716
analyzed,0,791320,1214.8341049382716
riverine,2,615140,559.1313634745461
international,3,594640,805.5898491083676
followed,0,791320,1214.8341049382716
mindanao,2,615140,559.1313634745461
consumption,2,615140,559.1313634745461
asian,3,594640,805.5898491083676
methods,0,791320,1214.8341049382716
life,2,615140,559.1313634745461
large,0,791320,1214.8341049382716
current,1,342080,992.9705215419501
design,2,615140,559.1313634745461
infrared,0,791320,1214.8341049382716
results showed,2,615140,559.1313634745461
site,0,791320,1214.8341049382716
time,2,615140,559.1313634745461
increasing,3,594640,805.5898491083676
malaysia,3,594640,805.5898491083676
polymer types,0,791320,1214.8341049382716
clean,1,342080,992.9705215419501
human health,3,594640,805.5898491083676
blue,0,791320,1214.8341049382716
number,2,615140,559.1313634745461
measures,2,615140,559.1313634745461
method,0,791320,1214.8341049382716
known,1,342080,992.9705215419501
abundant,0,791320,1214.8341049382716
worlds,2,615140,559.1313634745461
despite,3,594640,805.5898491083676
emerging,0,791320,1214.8341049382716
microplastic contamination,0,791320,1214.8341049382716
solid management,2,615140,559.1313634745461
fiber,0,791320,1214.8341049382716
pandemic,3,594640,805.5898491083676
model,2,615140,559.1313634745461
change,3,594640,805.5898491083676
macroplastic,1,342080,992.9705215419501
19,3,594640,805.5898491083676
respondents,2,615140,559.1313634745461
covid,3,594640,805.5898491083676
increase,2,615140,559.1313634745461
covid 19,3,594640,805.5898491083676
social,3,594640,805.5898491083676
macroplastics,1,342080,992.9705215419501
